Info,age,hiv_mortality,n_hiv_mortality,hiv,no_hiv,OLD RATE,OLD_Number
Same as 15,10,0.039580413,0.000996326,3958.0413,99.6326,0.00145,145
Same as 15,11,0.039580413,0.000996326,3958.0413,99.6326,0.00139,139
Same as 15,12,0.039580413,0.000996326,3958.0413,99.6326,0.00136,136
Same as 15,13,0.039580413,0.000996326,3958.0413,99.6326,0.00137,137
Same as 15,14,0.039580413,0.000996326,3958.0413,99.6326,0.0014,140
,15,0.039580413,0.000996326,3958.0413,99.6326,0.00165,165
,16,0.021306832,0.00100196,2130.6832,100.196,0.0017,170
,17,0.019141905,0.00101033,1914.1905,101.033,0.0018,180
,18,0.015578985,0.000991124,1557.8985,99.1124,0.00186,186
,19,0.016195388,0.000958828,1619.5388,95.8828,0.00199,199
,20,0.013087427,0.001161786,1308.7427,116.1786,0.00214,214
,21,0.014181376,0.001237466,1418.1376,123.7466,0.00232,232
,22,0.011782253,0.001108048,1178.2253,110.8048,0.00252,252
,23,0.01003602,0.001040125,1003.602,104.0125,0.00272,272
,24,0.009796861,0.000972692,979.6861,97.2692,0.00294,294
,25,0.009648916,0.001314228,964.8916,131.4228,0.00312,312
,26,0.009761058,0.001303011,976.1058,130.3011,0.00341,341
,27,0.01049977,0.001392768,1049.977,139.2768,0.00369,369
,28,0.009487732,0.001105753,948.7732,110.5753,0.00396,396
,29,0.010833154,0.001234171,1083.3154,123.4171,0.00421,421
,30,0.00970105,0.001319393,970.105,131.9393,0.00446,446
,31,0.010445909,0.001315596,1044.5909,131.5596,0.00469,469
,32,0.011396827,0.001244167,1139.6827,124.4167,0.00492,492
,33,0.010710644,0.001273535,1071.0644,127.3535,0.00516,516
,34,0.012401026,0.001337313,1240.1026,133.7313,0.00539,539
,35,0.012906167,0.001429996,1290.6167,142.9996,0.00617,617
,36,0.013805645,0.001458574,1380.5645,145.8574,0.0064,640
,37,0.013710723,0.001363749,1371.0723,136.3749,0.00669,669
,38,0.013405474,0.001436406,1340.5474,143.6406,0.00697,697
,39,0.013981858,0.001526185,1398.1858,152.6185,0.00722,722
,40,0.01597741,0.001857313,1597.741,185.7313,0.00747,747
,41,0.016655066,0.001976231,1665.5066,197.6231,0.00768,768
,42,0.016997226,0.001754859,1699.7226,175.4859,0.00783,783
,43,0.019211814,0.001585356,1921.1814,158.5356,0.00793,793
,44,0.019296031,0.001885379,1929.6031,188.5379,0.00799,799
,45,0.021182162,0.002131873,2118.2162,213.1873,0.00799,799
,46,0.021502403,0.002260105,2150.2403,226.0105,0.00827,827
,47,0.022271493,0.002250933,2227.1493,225.0933,0.00847,847
,48,0.023954587,0.002281612,2395.4587,228.1612,0.00865,865
,49,0.023438508,0.002156774,2343.8508,215.6774,0.00888,888
,50,0.031060962,0.010548362,3106.0962,1054.8362,0.00917,917