age,hiv
10,1.048939694
11,1.048939694
12,1.048939694
13,1.048939694
14,1.048939694
15,3.680051954
16,3.680051954
17,3.680051954
18,3.680051954
19,3.680051954
20,8.207867008
21,8.207867008
22,8.207867008
23,8.207867008
24,8.207867008
25,8.021211405
26,8.021211405
27,8.021211405
28,8.021211405
29,8.021211405
30,6.39516088
31,6.39516088
32,6.39516088
33,6.39516088
34,6.39516088
35,4.817042096
36,4.817042096
37,4.817042096
38,4.817042096
39,4.817042096
40,3.736333776
41,3.736333776
42,3.736333776
43,3.736333776
44,3.736333776
45,3.00500509
46,3.00500509
47,3.00500509
48,3.00500509
49,3.00500509
50,2.394230366
51,2.394230366
52,2.394230366
53,2.394230366
54,2.394230366
55,1.786930348
56,1.786930348
57,1.786930348
58,1.786930348
59,1.786930348
60,1.312065507
61,1.312065507
62,1.312065507
63,1.312065507
64,1.312065507
65,1.172843345
66,1.172843345
67,1.172843345
68,1.172843345
69,1.172843345
70,1.431788144
71,1.431788144
72,1.431788144
73,1.431788144
74,1.431788144
75,0.341038272